id_Social;any;data;hora;idEstructura;;;;;;;;
103;2020;30/06/2020;12:18;RocaGuilla;;;;;;;;
104;2020;30/06/2020;12:58;Palmero;;;;;;;;
105;2020;30/06/2020;13:20;ValldelsPous;;;;;;;;
106;2020;30/06/2020;13:38;PlaRoquis;;;;;;;;
107;2020;30/06/2020;15:05;TossalFonta;;;;;;;;
108;2020;30/06/2020;15:39;Rabinat;;;;;;;;
109;2021;03/02/2021;9:20;RocaGuilla;;;;;;;;
110;2021;03/02/2021;10:30;Palmero;;;;;;;;
111;2021;03/02/2021;10:58;MasMelValldelsPous;;;;;;;;
112;2021;03/02/2021;12:06;PlaRoquis;;;;;;;;
113;2021;03/02/2021;12:36;PlaRoquis;;;;;;;;
114;2021;03/02/2021;12:47;MasMel12;;;;;;;;
115;2021;03/02/2021;13:53;carretera MasMelons;;;;;;;;
116;2021;03/02/2021;14:50;Abocador Montoliu;;;;;;;;
117;2021;11/02/2021;9:15;TossalRodo;;;;;;;;
118;2021;11/02/2021;9:20;TossalRodo;;;;;;;;
119;2021;11/02/2021;9:29;TossalRodo;;;;;;;;
120;2021;11/02/2021;9:33;TossalRodo;;;;;;;;
121;2021;11/02/2021;9:39;camp;;;;;;;;
122;2021;11/02/2021;10:00;casa abandonada OsBalaguer;;;;;;;;
123;2021;11/02/2021;10:02;OsBalaguer;;;;;;;;
124;2021;11/02/2021;10:26;OsBalaguer;;;;;;;;
125;2021;11/02/2021;10:44;Ivars;;;;;;;;
126;2021;11/02/2021;10:44;Ivars;;;;;;;;
127;2021;11/02/2021;11:10;Ivars;;;;;;;;
128;2021;11/02/2021;11:10;Ivars;;;;;;;;
129;2021;11/02/2021;12:00;RocaGuilla;;;;;;;;
130;2021;11/02/2021;12:00;RocaGuilla;;;;;;;;
131;2021;11/02/2021;12:00;RocaGuilla;;;;;;;;
132;2021;11/02/2021;12:34;RocaGuilla;;;;;;;;
133;2021;11/02/2021;13:00;Palmero;;;;;;;;
134;2021;11/02/2021;13:10;Palmero;;;;;;;;
135;2021;11/02/2021;14:00;MasMelValldelsPous;;;;;;;;
136;2021;11/02/2021;14:20;ValldelsPous;;;;;;;;
137;2021;11/02/2021;14:40;PlaRoquis;;;;;;;;
138;2021;11/02/2021;15:26;gravera Bellpuig;;;;;;;;
139;2021;11/02/2021;NA;Montrepos;;;;;;;;
140;2021;11/02/2021;NA;casa abandonada Montrepos;;;;;;;;
141;2021;11/02/2021;16:00;Biscarri;;;;;;;;
142;2021;11/02/2021;16:40;TossalFonta;;;;;;;;
143;2021;18/02/2021;8:50;gravera Bellpuig;;;;;;;;
144;2021;18/02/2021;9:00;casa abandonada Montrepos;;;;;;;;
145;2021;18/02/2021;9:13;Montrepos;;;;;;;;
146;2021;18/02/2021;NA;BelpreixanaMontreposNW;;;;;;;;
147;2021;18/02/2021;9:35;casa abandonada Montrepos;;;;;;;;
148;2021;18/02/2021;9:45;casa abandonada Montrepos;;;;;;;;
149;2021;18/02/2021;9:56;BelpreixanaMontreposNW;;;;;;;;
150;2021;18/02/2021;10:26;camí a Biscarri;;;;;;;;
151;2021;18/02/2021;10:35;Biscarri;;;;;;;;
152;2021;18/02/2021;11:12;TossalFonta;;;;;;;;
153;2021;18/02/2021;11:31;casa abandonada TossalFonta;;;;;;;;
154;2021;18/02/2021;NA;BelpreixanaCabanaCaçadors;;;;;;;;
