ID_captures;metalica_esq;id_individu;id_uncertain;captura_recaptura;any_naixement;sexe;any;data;localitat;metode2;metode_captura;idEstructura;idCaixaNiu;idCaixa_old;edat_Euring;edat;pvc_d2;pvc_d;tag_esq;tag_esq_old;colorTag;tag_uncertainty;ala;ala_total;pp3;cua;becLlargada;becAlcada;tars;pes;alcada_ou;amplada_ou;volum_ou;crossfostering_dia;crossfostering_caixa;ploma;sang;gps;gps_old
5563;L007323;IND3831;certain;captura;2023;NA;2023;29/05/2023;Cadolles;captura_poll;CaixaNiu;Cadolles;CD_7;7;1;7_dies;PVC8LN;8LN;no;NA;NA;NA;35;NA;NA;NA;NA;NA;30.99;98.4;NA;NA;NA;NA;NA;no;no;no;NA
5638;L007323;IND3831;certain;recaptura;2023;NA;2023;05/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_7;7;1;14_dies;PVC8LN;8LN;no;NA;NA;NA;100;NA;NA;NA;NA;NA;43.92;188.3;NA;NA;NA;NA;NA;no;no;no;NA
5720;L007323;IND3831;certain;recaptura;2023;NA;2023;09/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_7;7;1;21_dies;PVC8LN;8LN;no;NA;NA;NA;144;NA;NA;NA;NA;NA;45.27;215.6;NA;NA;NA;NA;NA;si;no;NA;NA
5345;L007321;IND3832;uncertain;captura;2023;NA;2023;04/05/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_7;7;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.71;33.27;24.55;10.0791904;NA;NA;NA;NA;NA;NA
5413;L007321;IND3832;uncertain;recaptura;2023;NA;2023;08/05/2023;Cadolles;recaptura_ou;CaixaNiu;Cadolles;CD_7;7;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.54;NA;NA;NA;NA;NA;NA;NA;NA;NA
5487;L007321;IND3832;certain;recaptura;2023;NA;2023;22/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_7;7;1;1_dia;PVC8LL;8LL;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.37;NA;NA;NA;NA;NA;no;no;no;NA
5564;L007321;IND3832;certain;captura;2023;NA;2023;29/05/2023;Cadolles;captura_poll;CaixaNiu;Cadolles;CD_7;7;1;7_dies;PVC8LL;8LL;no;NA;NA;NA;27.5;NA;NA;NA;NA;NA;27.32;75.49;NA;NA;NA;NA;NA;no;no;no;NA
5641;L007321;IND3832;certain;recaptura;2023;NA;2023;05/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_7;7;1;14_dies;PVC8LL;8LL;no;NA;NA;NA;90;NA;NA;NA;NA;NA;43.09;172.1;NA;NA;NA;NA;NA;no;no;no;NA
5718;L007321;IND3832;certain;recaptura;2023;NA;2023;09/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_7;7;1;21_dies;PVC8LL;8LL;no;NA;NA;NA;135;NA;NA;NA;NA;NA;44.74;209.3;NA;NA;NA;NA;NA;si;no;NA;NA
5339;L007324;IND3833;uncertain;captura;2023;NA;2023;03/05/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_19;19;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.91;35.74;25.05;11.27300926;08/05/2023;7;NA;NA;NA;NA
5412;L007324;IND3833;uncertain;recaptura;2023;NA;2023;08/05/2023;Cadolles;recaptura_ou;CaixaNiu;Cadolles;CD_7;7;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.70;NA;NA;NA;NA;NA;NA;NA;NA;NA
